,index,Datetime,code,name,bankuai,expext
2773,4935,2025-01-27,300548,博创科技,通信设备,2.7491734
2774,4239,2025-01-27,600860,京城股份,通用设备,2.7490735
2775,3101,2025-01-27,626,远大控股,贸易行业,2.748537
2776,1981,2025-01-27,933,神火股份,有色金属,2.748163
2777,4397,2025-01-27,601066,中信建投,证券,2.7475448
2778,2293,2025-01-27,603755,日辰股份,食品饮料,2.746421
2779,2722,2025-01-27,300342,天银机电,家电行业,2.7459474
2780,1412,2025-01-27,607,华媒控股,文化传媒,2.745758
2781,3741,2025-01-27,300400,劲拓股份,专用设备,2.7451425
2782,2370,2025-01-27,300587,天铁科技,橡胶制品,2.7437866
2783,1922,2025-01-27,605399,晨光新材,化学制品,2.7430625
2784,4124,2025-01-27,688472,阿特斯,光伏设备,2.7428582
2785,2881,2025-01-27,600765,中航重机,航天航空,2.7424262
2786,3467,2025-01-27,601279,英利汽车,汽车零部件,2.7422323
2787,3514,2025-01-27,301398,星源卓镁,汽车零部件,2.7407618
2788,2901,2025-01-27,563,陕国投Ａ,多元金融,2.7395754
2789,3792,2025-01-27,603416,信捷电气,专用设备,2.7378917
2790,2221,2025-01-27,603881,数据港,互联网服务,2.7373939
2791,4742,2025-01-27,688655,迅捷兴,电子元件,2.7359307
2792,209,2025-01-27,600886,国投电力,电力行业,2.7341053
2793,384,2025-01-27,300234,开尔新材,装修建材,2.7326658
2794,4051,2025-01-27,688628,优利德,仪器仪表,2.7317076
2795,1609,2025-01-27,688739,成大生物,生物制品,2.7307181
2796,3594,2025-01-27,603286,日盈电子,汽车零部件,2.7305782
2797,2617,2025-01-27,603580,艾艾精工,塑料制品,2.7286677
2798,1647,2025-01-27,688382,益方生物-U,生物制品,2.728115
2799,1909,2025-01-27,300665,飞鹿股份,化学制品,2.726759
2800,1864,2025-01-27,688116,天奈科技,化学制品,2.7260528
2801,3917,2025-01-27,300545,联得装备,光学光电子,2.724266
2802,815,2025-01-27,688389,普门科技,医疗器械,2.7234733
2803,4526,2025-01-27,688601,力芯微,半导体,2.7228847
2804,4270,2025-01-27,301032,新柴股份,通用设备,2.722062
2805,597,2025-01-27,600103,青山纸业,造纸印刷,2.7219982
2806,1173,2025-01-27,603324,盛剑科技,环保行业,2.7196884
2807,937,2025-01-27,301258,富士莱,化学制药,2.7194335
2808,773,2025-01-27,688212,澳华内镜,医疗器械,2.7182074
2809,2066,2025-01-27,600515,海南机场,航空机场,2.716826
2810,1889,2025-01-27,688353,华盛锂电,化学制品,2.7167306
2811,1254,2025-01-27,600771,广誉远,中药,2.7164176
2812,1579,2025-01-27,603385,惠达卫浴,装修装饰,2.7162461
2813,939,2025-01-27,766,通化金马,化学制药,2.7119398
2814,667,2025-01-27,818,航锦科技,化学原料,2.7116404
2815,952,2025-01-27,300705,九典制药,化学制药,2.7106867
2816,3610,2025-01-27,688268,华特气体,电子化学品,2.7105927
2817,497,2025-01-27,605162,新中港,公用事业,2.7103515
2818,1544,2025-01-27,2761,浙江建投,工程建设,2.7100773
2819,529,2025-01-27,300970,华绿生物,农牧饲渔,2.7089
2820,919,2025-01-27,603229,奥翔药业,化学制药,2.7083113
2821,4248,2025-01-27,300441,鲍斯股份,通用设备,2.7078733
2822,3757,2025-01-27,603025,大豪科技,专用设备,2.7071223
2823,1168,2025-01-27,300425,中建环能,环保行业,2.7068825
2824,4959,2025-01-27,300907,康平科技,电机,2.7038784
2825,1194,2025-01-27,300008,天海防务,船舶制造,2.7035966
2826,2305,2025-01-27,1219,青岛食品,食品饮料,2.7033865
2827,191,2025-01-27,600821,金开新能,电力行业,2.703099
2828,3724,2025-01-27,688501,青达环保,专用设备,2.7018502
2829,1678,2025-01-27,603727,博迈科,采掘行业,2.7014465
2830,2640,2025-01-27,300905,宝丽迪,塑料制品,2.7012377
2831,2650,2025-01-27,301538,骏鼎达,塑料制品,2.7009144
