,Datetime,code,name,expext
6309,2025-01-24,300274,阳光电源,0.022796094
6310,2025-01-23,300350,华鹏飞,0.02279137
6311,2025-01-24,829,天音控股,0.022791177
6312,2025-01-24,600792,云煤能源,0.022786975
6313,2025-01-23,2755,奥赛康,0.022777066
6314,2025-01-23,2031,巨轮智能,0.022776604
6315,2025-01-24,415,渤海租赁,0.022771299
6316,2025-01-24,300082,奥克股份,0.022770792
6317,2025-01-27,688793,倍轻松,0.022769406
6318,2025-01-24,2129,TCL中环,0.022767738
6319,2025-01-23,600538,国发股份,0.022762612
6320,2025-01-27,300005,探路者,0.022759259
6321,2025-01-23,603727,博迈科,0.022755131
6322,2025-01-23,300311,任子行,0.02275218
6323,2025-01-27,600157,永泰能源,0.022752017
6324,2025-01-27,600728,佳都科技,0.022743538
6325,2025-01-23,688799,华纳药厂,0.022742957
6326,2025-01-23,301383,天键股份,0.022735119
6327,2025-01-23,600012,皖通高速,0.022730574
6328,2025-01-23,2431,棕榈股份,0.022723913
6329,2025-01-23,801,四川九洲,0.02272202
6330,2025-01-24,300603,立昂技术,0.022720873
6331,2025-01-23,2093,国脉科技,0.022720113
6332,2025-01-23,2689,远大智能,0.02271925
6333,2025-01-27,2138,顺络电子,0.022716746
6334,2025-01-27,605399,晨光新材,0.022714242
6335,2025-01-27,2792,通宇通讯,0.022711828
6336,2025-01-27,605580,恒盛能源,0.022711083
6337,2025-01-24,600067,冠城新材,0.022710428
6338,2025-01-24,688612,威迈斯,0.022702828
6339,2025-01-27,300777,中简科技,0.022702813
6340,2025-01-24,600919,江苏银行,0.022692412
6341,2025-01-27,600765,中航重机,0.02269113
6342,2025-01-27,301237,和顺科技,0.022690997
6343,2025-01-23,600983,惠而浦,0.02268885
6344,2025-01-23,301113,雅艺科技,0.022687107
6345,2025-01-27,688309,恒誉环保,0.022687078
6346,2025-01-27,2090,金智科技,0.02268584
6347,2025-01-24,2648,卫星化学,0.022680238
6348,2025-01-23,300011,鼎汉技术,0.022674263
6349,2025-01-27,603956,威派格,0.022672862
6350,2025-01-27,605258,协和电子,0.022669464
6351,2025-01-24,948,南天信息,0.022667944
6352,2025-01-24,600455,博通股份,0.022665381
6353,2025-01-24,688238,和元生物,0.022661805
6354,2025-01-24,2483,润邦股份,0.022653833
6355,2025-01-27,301378,通达海,0.022651464
6356,2025-01-27,603061,金海通,0.022649512
6357,2025-01-24,300736,百邦科技,0.022649303
6358,2025-01-27,2019,亿帆医药,0.022641063
6359,2025-01-23,601828,美凯龙,0.022640616
